Day,DOW,is_holiday,Area_code,Avg_tem,High_tem,Low_tem,is_fog,is_rain,is_yellow_dust,is_thunder,is_storm,is_shower,is_snow,is_sport_KBO,is_sport_NBA,is_sport_PREMIER,is_sport_K1,bigmac_local_price,bigmac_dollar_price,Proudct_price_index,Consumer_price_index,KTB_avg_1year,KTB_avg_3year,exchange_rate_dollar,exchange_rate_pound,exchange_rate_euro,kospi,DOMINOPIZZA,BURGERKING,MRPIZZA,BHC,BBQ,GOOBNE,PIZZAHUT,PAPAJOHNS,KFC,NENE,HOSIGI,PIZZAALVOLO,ETANG,PELICANA,TOREORE,MEXI,CHEOGA,BON,ONE,JANG,HAVEN,PIZZAMARU,SEVENTHPIZZA,BBONGDDERAK,DDCK,GANGJUNG,PIZZATHINK,MRBOSSAM,60CHICKEN,CKNIA,REDCAP,NOLBOO,TANGTANG,OPPADAK,GAMARO,NOLBOOBOODAE,TIBA,KANG678,YOUNGGUS,TTOBONGEE,TWOTWO,IMSILCHEESEPIZZA,POPEYES,HOOLALA,VON,CHICKENMARU,DON,CHICKENTHEHOME,NAMJAPIZZA,JOESSANDWICH,BULLOMAN,Delivery365,EBADOM,SMOPER,LOVELETTER,SODAM,BOBBYBOX,HOTSUN,ORAEORAE,TKMOM,LIKECH,SOGONGDONG,PIZZA2001,PIZZAMYUNG,CHAMPIZZA,TWOMARI,YELLOWCHICKEN,HWAR,NOLBOOETC,DASOM,NOLBOOORI,BUONA,BBASASI,GUIGUI
20160331,Thursday,0,000-,,,,,,,,,,,0,1,0,0,4300,3.59,-3.3,0.8,1.48,1.45,1141.5,1642.39,1296.29,1995.85,21,63,14,38,72,44,0,2,55,66,0,0,9,28,6,20,38,3,5,79,0,0,0,0,8,11,0,3,0,3,3,3,0,6,0,0,3,2,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,002-,15.3,23.8,7.3,0,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,763,436,338,104,113,145,0,152,127,65,0,95,101,34,22,9,12,153,31,5,38,0,4,0,3,1,9,5,0,5,14,2,4,1,9,0,3,0,0,0,2,7,17,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
20160401,Friday,0,031-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,229,82,130,57,43,81,0,30,31,40,0,20,28,18,5,7,0,14,9,3,3,2,0,1,1,0,4,0,0,0,5,2,0,1,4,0,1,0,4,2,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0
20160401,Friday,0,032-,13.5,19.7,8.3,0,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,89,22,32,15,20,14,0,3,6,5,0,7,27,1,1,8,0,8,5,0,2,1,0,0,0,0,0,0,0,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,033-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,17,0,16,0,3,14,0,3,0,0,0,0,0,10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,041-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,20,0,16,1,0,1,0,0,2,4,0,3,1,4,1,2,0,6,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,042-,15,25.4,4.8,1,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,20,11,14,8,0,13,0,1,5,0,0,4,3,2,0,0,0,3,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,043-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,12,3,10,0,0,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,044-,,,,,,,,,,,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,2,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160401,Friday,0,051-,16.1,22,11,1,0,0,0,0,0,0,1,1,0,0,4300,3.59,-3,1,1.48,1.45,1153,1651.67,1314.42,1973.57,61,5,58,9,10,8,0,5,3,6,0,2,35,0,0,1,3,2,1,3,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
